us, ir
40, 40.0
44, 40.0
44, 40.0
44, 40.0
46, 40.0
46, 40.0
46, 40.0
46, 40.0
44, 40.0
44, 40.0
44, 40.0
50, 40.0
50, 40.0
50, 40.0
50, 40.0
55, 40.0
55, 40.0
55, 40.0
55, 40.0
59, 40.0
59, 49.088
59, 49.088
59, 49.088
58, 49.088
58, 49.088
58, 49.088
65, 49.088
65, 49.088
65, 49.088
65, 53.848
67, 53.848
67, 53.848
67, 53.848
72, 53.848
72, 53.848
72, 53.848
72, 53.848
78, 63.8
78, 63.8
78, 63.8
78, 63.8
82, 63.8
82, 63.8
82, 63.8
82, 63.8
91, 63.8
91, 74.328
91, 74.328
91, 74.328
95, 74.328
95, 74.328
95, 74.328
101, 74.328
101, 74.328
101, 74.328
101, 74.328
103, 85.43200000000001
103, 85.43200000000001
103, 85.43200000000001
103, 85.43200000000001
112, 85.43200000000001
112, 85.43200000000001
112, 85.43200000000001
112, 85.43200000000001
118, 85.43200000000001
118, 103.168
118, 103.168
118, 103.168
121, 103.168
121, 103.168
121, 103.168
121, 103.168
130, 103.168
130, 103.168
130, 122.2
137, 122.2
137, 122.2
137, 122.2
137, 122.2
147, 122.2
147, 122.2
147, 122.2
147, 122.2
156, 128.832
156, 128.832
156, 128.832
156, 128.832
164, 128.832
164, 128.832
164, 128.832
164, 128.832
170, 128.832
170, 164.152
170, 164.152
170, 164.152
179, 164.152
179, 164.152
179, 164.152
179, 164.152
184, 164.152
184, 164.152
184, 164.152
184, 179.288
184, 179.288
184, 179.288
184, 179.288
184, 179.288
198, 179.288
198, 179.288
198, 179.288
198, 179.288
211, 203.072
211, 203.072
211, 203.072
211, 203.072
219, 203.072
219, 203.072
219, 203.072
219, 203.072
233, 203.072
233, 203.072
233, 219.648
233, 219.648
241, 219.648
241, 219.648
241, 219.648
241, 219.648
241, 219.648
251, 219.648
251, 219.648
251, 245.592
251, 245.592
259, 245.592
259, 245.592
259, 245.592
259, 245.592
267, 245.592
267, 245.592
267, 245.592
267, 245.592
280, 282.2
280, 282.2
280, 282.2
280, 282.2
290, 282.2
290, 282.2
290, 282.2
297, 282.2
297, 282.2
297, 301.368
297, 301.368
297, 301.368
321, 301.368
321, 301.368
321, 301.368
321, 301.368
326, 301.368
326, 301.368
326, 362.328
326, 362.328
329, 362.328
329, 362.328
329, 362.328
329, 362.328
340, 362.328
340, 362.328
340, 362.328
340, 351.808
348, 351.808
348, 351.808
348, 351.808
348, 351.808
362, 351.808
362, 351.808
362, 351.808
362, 351.808
362, 351.808
370, 383.8
370, 383.8
370, 383.8
370, 383.8
380, 383.8
